genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878098,35.528284
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864271,35.526711
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854274,35.525867
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838482,35.531071
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.834692,35.483823
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.773079,35.58176
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761057,35.565173
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75824,35.581452
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.652389,35.609608
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.652389,35.609617
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641918,35.585213
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.639272,35.586308
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.6293,35.47492
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.505383,35.492098
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.505246,35.492308
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504656,35.485379
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504006,35.491405
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49936,35.68601
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492731,35.636319
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451751,35.697896
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.426066,35.610874
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418212,35.685027
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25517,35.609301
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254869,35.610397
Trillium_grandiflorum,Trillium  grandiflorum,41204,Large-flower Wakerobin,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.253473,35.605096
