genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992421,35.526256
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.98489,35.513735
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97989,35.521015
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979361,35.523083
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978967,35.556547
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976795,35.518703
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.935573,35.60775
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.934033,35.603967
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.925468,35.611493
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922429,35.620472
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871262,35.462057
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80287,35.610877
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.784194,35.600675
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.725843,35.471218
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.72562,35.471484
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.72519,35.471467
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.724606,35.471787
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.724217,35.471363
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.706195,35.654108
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.702064,35.652101
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.64619,35.442589
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634677,35.446563
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.63463,35.446799
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634389,35.445488
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.37494,35.749599
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Ulmus_alata,Ulmus  alata,41634,Winged Elm,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.18038,35.783635
