genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.999622,35.556477
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.995037,35.539683
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993203,35.55678
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992421,35.526256
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991994,35.532567
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990823,35.546448
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981002,35.53228
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980485,35.530833
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979694,35.531186
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979201,35.531586
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978031,35.529758
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977673,35.520087
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977639,35.519448
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977634,35.519926
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976004,35.520552
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973403,35.554603
Vaccinium_arboreum,Vaccinium  arboreum,42011,Tree Sparkle-berry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971156,35.561544
