genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.98009,35.521055
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.853005,35.473189
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.849816,35.589883
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843432,35.590972
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837178,35.579159
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833382,35.594769
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827103,35.611716
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806279,35.609905
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80226,35.606997
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.797307,35.608663
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788625,35.597977
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787021,35.597545
Verbesina_alternifolia,Verbesina  alternifolia,42151,Wingstem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.749078,35.636435
