genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992421,35.526256
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989104,35.555684
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.98009,35.521055
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932736,35.606522
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932369,35.605539
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.93153,35.608543
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.878499,35.466986
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.853005,35.473189
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837178,35.579159
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.829676,35.605491
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827108,35.606516
Verbesina_occidentalis,Verbesina  occidentalis,42152,Yellow Crownbeard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.799366,35.60537
