genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989104,35.555684
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979361,35.523083
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.925198,35.566184
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.856367,35.472622
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.815112,35.524607
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.81307,35.501806
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.809546,35.523394
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805637,35.609857
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.800844,35.529004
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.795625,35.576516
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.793422,35.577568
Viola_cucullata,Viola  cucullata,42313,Marsh Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.790158,35.594128
