genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865648,35.523263
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846285,35.593933
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788951,35.593372
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766001,35.562995
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.658738,35.604673
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.652328,35.59572
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.639272,35.586308
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629871,35.571119
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629663,35.57152
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523599,35.671632
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.51335,35.563069
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444901,35.654138
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.443624,35.652082
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440932,35.651082
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439494,35.656078
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438472,35.658424
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.43641,35.650921
Viola_macloskeyi_variety,Viola  macloskeyi variety,42324,Smooth White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436076,35.65191
