genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.977498,35.509384
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.925198,35.566184
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.919224,35.597008
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912214,35.592041
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877459,35.464081
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867407,35.586573
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.859779,35.620246
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.85657,35.584974
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855953,35.583735
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855597,35.615631
Viola_x_palmata,Viola  x palmata,42327,Early Blue Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854487,35.585023
