genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.978893,35.524437
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.922914,35.619541
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889213,35.626546
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.855269,35.614801
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.850442,35.615916
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.846879,35.610394
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.842042,35.559135
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.834625,35.600913
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.824357,35.614602
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.823477,35.607133
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.816835,35.598708
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810629,35.459582
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.808953,35.631114
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.80095,35.607416
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.798483,35.607572
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794295,35.617566
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768887,35.452499
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768333,35.451106
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.75926,35.637157
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.758269,35.581001
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.758198,35.640633
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750934,35.642927
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750278,35.468878
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.745631,35.607662
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.743824,35.647785
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.737148,35.636283
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.732717,35.611516
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718646,35.467883
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.713032,35.456896
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.685552,35.466659
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.671904,35.44844
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.668491,35.680593
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.664478,35.682484
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582722,35.645671
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.582167,35.644223
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.565764,35.667531
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559294,35.47904
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.552823,35.656206
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.550623,35.681482
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538731,35.664598
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.538267,35.688638
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.531626,35.669066
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.530436,35.688046
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.525713,35.672444
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.523738,35.663769
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.519865,35.654377
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.518206,35.670122
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.500461,35.535241
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.48818,35.455695
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.46044,35.541338
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.437857,35.61096
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.392191,35.488068
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.388645,35.49004
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.387642,35.61495
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.381656,35.710761
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.380978,35.708782
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.38011,35.615595
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.338737,35.553045
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.329337,35.576214
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.328104,35.570991
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.261195,35.750936
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.210395,35.757343
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.160291,35.565688
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.105804,35.758842
Vireo_flavifrons,Vireo  flavifrons,42362,Yellow-throated Vireo,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.091891,35.734737
