genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.994907,35.557225
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991511,35.554876
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975815,35.514554
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975655,35.514378
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975404,35.558303
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972906,35.555769
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972274,35.557479
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922239,35.604641
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912214,35.592041
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.888109,35.62103
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.88614,35.622447
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Vitis_vulpina,Vitis  vulpina,42387,Frost Grape,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.870532,35.558829
