genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.924817,35.602722
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.894197,35.63342
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.832858,35.672463
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.831378,35.671227
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.830769,35.66961
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.821492,35.648621
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.820916,35.655791
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819512,35.64946
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.819078,35.656275
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.818914,35.651322
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.818893,35.654153
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.818755,35.652443
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.817864,35.620802
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813666,35.623838
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811847,35.624223
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.807901,35.645847
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.801903,35.619552
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.800639,35.619717
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.799004,35.620926
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.783773,35.4788
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.764782,35.628243
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.764452,35.626348
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.760906,35.63045
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.759617,35.635004
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.75926,35.637157
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.756908,35.642285
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.754514,35.642025
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.746496,35.645849
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.745797,35.647037
Zenaida_macroura,Zenaida  macroura,41807,Mourning Dove,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.743824,35.647785
