name,avg_yearly_rainfall ,geology ,hydrologic_soil_group ,parent_material ,seedling_mortalityl ,soil_drainage_class ,soil_hydric_rating_class ,soil_surface_texture ,surficial_geology ,type_disturbance ,understory_density_class ,vegetation ,wetlands ,years_since_fire ,air_flow_height ,aspect ,available_watersupply_at_100cm ,available_watersupply_at_150cm ,available_watersupply_at_25cm ,available_watersupply_at_50cm ,convergence_index ,convexity ,cross_sectional_curvature ,diffuse_solar_radiation ,direct_duration_solar_radiation ,direct_solar_radiation ,elevation ,general_curvature ,longitudinal_curvature ,ls_factor ,maximal_curvature ,melton_ruggedness_index ,mid_slope_position ,minimal_curvature ,multi_resolution_valley_bottom_flatness ,negative_openness ,normalized_height ,percent_organic_matter ,plan_curvature ,positive_openness ,potential_solar_radiation ,precip_frequency ,prism_tmax_30year ,prism_tmean_30year ,prism_tmin_30year ,sky_view_factor ,slope ,slope_height ,standardized_height ,tangential_curvature ,terrain_view_factor ,topographic_ruggedness_index ,topographic_wetness_index ,total_curvature ,valley_depth ,visible_sky ,wind_effect ,wind_exposition_index ,concavity 
Abaeis_nicippe,1.82842,20.22861,0.24894,4.47974,0.97355,0.27896,0.46378,2.04618,25.65832,0.89255,7.11921,6.87621,0.68769,1.85364,0,0.55858,0.00204,0.13336,0,0,0.06927,0.0228,2.10538,0.41807,0,0,0,0.15417,0.01326,0.01544,0.01419,0.62582,1.31201,0.04855,0,2.01142,0.07982,0.84532,0,0.77484,2.75576,0.0852,0.08161,0,0.28061,0.78087,0.2044,9.89684,0.01615,0.00241,0,0.01676,0.06654,1.47731,0.17456,0.48949,0.37249,0.45886,0
Abagrotis_alternata,8.58699,13.49382,0.10924,5.8433,5.45585,0.85941,0.02356,8.02367,12.91834,0.0696,2.90576,4.89836,2.55164,0.26106,0.03773,0.29207,0,0.62619,0.00552,0,0.32639,0,0.07108,0.71687,1.40538,0.00488,0.02829,0.0308,0.07896,0.11691,0.08531,0.41944,0.12032,0.01252,0,0.46718,0.00212,0.7636,0,0.09685,1.30967,0.00622,0.72548,0,0.86949,0.00653,1.84845,0.59608,0.08735,0,0.01747,22.10198,0.08684,0.14776,0.16622,0.05115,0.24798,0.00729,0.015
Abies_fraseri,1.04744,1.05478,0.31487,0.46478,0.01599,0.00431,0.02641,0.47717,0.01802,0.10996,0.13043,1.21028,0,0.04274,23.28362,0.17181,0.20484,0.00826,0.12557,0.05618,0.34101,0.08473,0.07714,2.12825,1.37026,0.93266,33.72469,0.12539,0.01379,0.01726,0.02372,0.31337,0.10342,0.07533,0,0.14582,0.42453,0.01759,0.00238,1.05898,0.60947,1.11729,20.66984,1.37425,0.38857,0.04314,0.06753,0.12749,2.50662,0.03518,0.01171,0.00377,0.40684,0.07293,0.16313,1.52685,0.17862,0.81713,0.13198
Ablabesmyia_mallochi,3.35553,8.70367,2.39625,6.19555,0.6739,0.16114,0.19831,3.25895,1.91454,1.68549,1.4376,7.00232,0,0.72447,0.09522,0.56098,0,0.00164,0,0,0.98498,0.72169,0.06912,0.15724,3.02206,0.2763,0.32483,0.23984,0.48346,0.02007,0.0335,0.86,1.39233,0.2641,0,3.79793,0.20335,2.98555,0.00104,0.56984,21.78525,1.32119,0.01275,0.00245,0.29273,0.0043,0.02638,0.50139,0.01729,0.05023,0,0.00037,1.61618,0.4928,1.91661,13.10912,0.5844,1.52814,1.96558
Acentrella_ampla,2.72717,9.29665,0.09999,6.31876,2.26654,0.02591,0.3844,1.95644,4.4963,0.08584,1.85525,10.96509,0,1.76407,0,2.17793,0.01566,0.00993,0,0.00689,0.22094,0.40885,0.0079,0.23471,5.99015,0.16064,0.6476,0.08138,0.02486,0.03212,0.05658,0.22339,0.38645,0.1209,0,0.56733,0.57775,2.64235,0.0007,16.32389,8.88874,1.30005,0.02024,0,0.00783,1.90983,0.07211,2.44932,0.03463,0.15053,0,0.441,1.30894,0.41591,1.7671,2.93722,0.76701,1.35837,3.00993
Acer_pensylvanicum,2.12198,9.05971,0.47122,4.74524,1.07037,0.66593,1.12863,0.36278,0.66518,1.19246,3.03393,5.78458,0.02593,2.19014,0.63297,1.30606,0.04535,1.33524,1.70315,0.02162,0.07175,0.05274,0.04477,13.98933,0.14731,0.05824,0.83455,0.54991,0.13394,0.58581,0.21878,0.33117,0.95295,0.15772,0,3.34496,0.05847,9.37884,0.14838,0.80611,0.38755,3.83164,1.11649,4.91426,3.15727,0.16963,0.09017,0.47654,0.1367,0.67238,0.07007,1.82698,0.23468,0.1573,0.42805,1.58714,7.55714,3.59014,0.16763
Acer_rubrum_v_rubrum,2.95293,4.7534,0.72437,6.66322,0.31453,0.48866,1.29304,0.38171,0.85038,0.33551,0.90045,9.72324,0.06532,3.04729,3.1742,0.20679,0.08196,1.32654,0,0.01681,0.01563,0.08139,0.15765,7.69478,2.48649,0.06004,0.17506,0.421,0.07016,0.045,0.10009,0.33048,0.20353,0.14112,0,2.45375,0.01786,9.80978,0.07075,0.13349,0.61002,5.18473,1.86086,6.15796,6.34136,0.20218,0.20494,0.8159,0.16624,0.18116,0.07862,10.62206,0.00793,0.21199,0.54485,0.32067,0.90779,3.74202,0.07037
Acer_saccharum,1.66091,10.52115,0.44627,4.58083,1.11243,0.14609,0.05074,0.49881,3.48458,0.04676,3.88373,7.8902,0,2.84386,0.24532,1.29531,0.00084,2.041,2.62056,0.01507,0.19475,0.38883,0.14203,11.86102,0.28281,0.15088,2.66659,0.08261,0.10007,0.13043,0.1379,0.26631,0.06772,0.26748,0,3.69076,0.12457,6.87683,0.07535,3.84222,0.59481,4.53357,3.08576,3.82665,2.40382,0.1776,0.1748,0.5749,0.17916,0.21655,0.06272,0.45539,0.61226,0.28663,2.84031,3.27688,0.91242,0.80798,0.24431
Acer_spicatum,2.39874,1.67224,0.02949,1.69421,0.10485,0.11264,0.00045,0.3372,0.06721,0.03707,1.00962,1.89374,0,0.13793,43.6083,0.29992,0.22739,0.46237,0.02205,0.00734,0.26702,0.01303,0.48163,5.38463,0.12177,0.02469,10.06719,0.01676,0.21024,0.13351,0.09368,0.70975,0.18284,0.26084,0,0.21929,0.74358,0.43029,0.85267,10.0071,0.31298,0.93382,1.76491,0.52779,0.25385,0.16226,0.31806,0.23869,3.78567,0.17417,0.14063,0.14436,0.34383,0.36076,0.64551,1.44625,1.22587,2.81932,0.05802
Acroneuria_abnormis,1.46031,4.94449,0.01708,2.01449,0.87585,0.08733,0.00616,0.65216,4.01717,0.10549,2.20967,5.45227,0,2.21555,0.92439,1.75327,0.1124,5.43677,0,0.00777,0.28382,2.2521,0.16833,0.75932,5.92968,0.50093,16.24678,0.21585,0.96915,0.27534,0.10164,0.99321,0.41075,0.28643,0,0.82432,0.76508,0.30717,0.17573,0.30797,5.58527,1.12774,2.18713,1.52069,1.35088,0.17701,1.20179,0.44338,0.05591,1.90309,0.07686,0.25595,0.43779,0.41112,1.90685,0.37503,0.4836,11.63105,4.80265
Acronicta_americana,2.814042,8.372852,0.485772,4.300012,1.286386,0.283038,0.357548,1.799507,5.409004,0.456073,2.448565,6.169629,0.333058,1.508075,7.200175,0.862272,0.069048,1.13813,0.447685,0.013168,0.277556,0.402616,0.332503,4.334422,2.075591,0.216926,6.471558,0.191771,0.209789,0.137189,0.086539,0.507294,0.513232,0.163499,0,1.752276,0.299713,3.405732,0.1327,3.392129,4.283952,1.944145,3.152507,1.832405,1.534641,0.363335,0.420863,1.612053,0.698572,0.33857,0.045808,3.586862,0.512183,0.403451,1.055319,2.51198,1.323732,2.67603,1.046547
Acronicta_fragilis,8.16484,12.5149,0.08397,9.75985,0.20684,0.11992,0.00897,0.72673,4.77429,0.04132,3.49506,7.90127,0,2.078,0.05981,0.52378,0,0.05469,0,0.00485,0.58245,0.01006,0.09734,22.43341,0.62331,0.45608,0.04453,0.05494,0.17929,0.30364,0.0181,0.05788,0.83631,0.04053,0,0.55551,0.13957,0.90161,0.01351,0.01035,4.0161,0.90802,0.50851,0.81537,0.0932,0.07971,2.38238,1.49112,0,0.02195,0.06574,4.34476,0.03985,0.5864,2.50733,0.52455,2.73767,0.998,0.00189
Acronicta_haesitata,9.71572,6.45172,0.17556,6.74712,1.08408,1.04252,0.18264,2.70965,16.9871,0.02002,1.67855,10.25633,2.49175,0.38075,0.28561,1.52664,0.02249,0.25087,0.00163,0,0.73971,0.07211,0.55785,0.2303,0.526,0.00083,0.1343,0.01652,0.01038,0.01032,0.20192,0.08562,1.01232,0.00204,0,0.19654,0,4.41185,0,0.1436,1.43349,0.73265,1.21458,0.00394,0.71204,0.14118,1.35392,0.35145,1.19399,0,0.0573,19.61215,0,0.47107,1.47693,0.09176,0.61086,0.1042,0.07554
Acronicta_hasta,6.08186,17.02125,0.56436,5.04862,0.07152,0.16172,1.65331,5.38209,7.08356,0.08073,2.51076,3.1113,2.8859,0.08086,0.00401,0.15691,0.00566,0,0.63391,0.00877,0.09275,0,0.30665,0.44328,0.26614,0.00466,1.23965,0.0151,0.11047,0,0.19545,0.74189,0.05311,0.06171,0,0.23263,0.19983,2.94435,0.00049,0.5085,3.97667,0.30125,0.59277,0.1808,0.10793,0.09759,0.69076,2.11212,0.05678,0,0.00418,28.16073,0.28981,0.11686,1.13351,0.0222,2.048,0.14417,0
Acronicta_impleta,8.38671,13.48381,1.01358,2.07907,2.6242,0.05741,2.0991,6.58949,8.76292,0.07975,3.54999,4.38425,2.64302,0.41857,0.70722,0.6773,0.05681,0.80308,0,0,0.43267,0,0.06447,0.00255,0.00618,0.0009,3.16466,0.03224,0,0.09806,0.20616,3.27175,0.33674,0.71012,0,0.74904,0.03513,2.15277,0,0.37859,1.43759,0.23413,1.0044,0.03409,0.27847,0.00096,0.52974,0.70764,3.62985,0,0,20.04449,0.22558,0.18796,1.32601,0.00269,0.23035,0.06775,0
Acronicta_inclara,4.29075,19.50573,0.07277,7.94602,0.73803,4.10885,1.25335,1.64965,19.86698,0.00367,1.28816,11.89192,0,1.10947,0,0.41985,0.01488,0.01051,0.00843,0.03519,0.23366,0.04839,0.17977,0.2101,0.07363,0.02684,0,0.16236,0,0.02742,0.17993,0.75899,0.30582,0.00038,0,0.97165,0.03582,4.03751,0.01398,0.05305,0.07187,0.04161,0.02634,0,0.04039,0.95436,0.60705,0.49428,0.14677,0,0.36909,9.05933,0.15052,4.53893,0.93448,0.68386,0.16635,0.18125,0
Acronicta_innotata,10.57376,14.97416,0.88993,18.05298,0.04052,0.30061,0.019,3.65497,9.32732,0.00054,2.64903,4.38679,1.38435,0.99721,0.49784,0.70484,0.03332,0.15283,0.32112,0.01334,0.36325,0.41631,0.04684,1.45114,0.9183,0.07708,0.21512,0,0.15299,0.30994,0.01356,0.1527,0.44232,0.05933,0,0.1117,0.0615,0.67727,0.0173,0.06067,5.87989,0.06018,0.01393,1.01553,0.1182,0.03654,0.84773,0.51622,0.27276,0.03853,0.36525,11.77251,0.39296,2.44572,0.56168,0.12427,0.25071,0.66191,0.10375
Acronicta_modica,15.83804,6.51958,0.28797,8.496,1.65808,0.22793,0.04856,2.1823,16.4986,0.37633,2.89619,9.55107,5.15063,0.10253,0.09233,0.02544,0,0.61531,0.02303,0,0.02698,0,0.06954,1.43978,0,0,0.20541,0.03608,0.00412,0.45006,0.00601,0.07159,3.84391,0.06689,0,2.67239,0.01644,0.90092,0,0.26906,0.0034,0.34443,0.78293,0.00444,0.41875,0.06187,0.25111,3.02659,2.48097,0,0,7.91902,0.02939,1.42608,0.21046,0.10789,1.97415,0.04774,0.2418
Acronicta_morula,15.64512,11.98186,0.07576,18.5659,2.35041,4.24654,0.2297,1.50286,4.16555,0.05976,3.19549,7.21673,0,1.09915,0.13182,1.38241,0,0.08056,0.04278,0,0.04101,0.01731,0.12481,2.0741,1.53108,0,0.09299,0,0.06746,0.13,0.02355,0.10778,0.32269,0.03201,0,0.10895,0.03359,2.7138,0.02063,0.3603,0.56656,0.21291,0.19048,0.00593,0.18392,0.25299,0.03283,0.87427,0.80023,0.20108,0.00857,12.60482,0.42317,2.05618,0.17223,0.09251,0.50845,0.09002,0.94838
Acronicta_ovata,10.43814,16.13923,0.17869,12.30789,4.75551,4.66155,0.08051,3.16071,11.09144,1.13822,2.78674,5.17968,2.5505,0.07973,0.02457,0.29699,0.05273,0.78432,0.00147,0.01372,0.06473,0.49831,0.32147,1.45779,0.83165,0.13224,0.00407,0.00192,0.00392,0.14154,0.07102,0.15245,0.06063,0.0726,0,0.88014,0.076,2.07573,0,0.07482,0.02878,0.50793,0.73475,0.10278,0.74679,0.12131,0.85652,0.0924,0.12797,0,0.10309,12.25034,0.1244,0.61056,0.07621,0.31743,0.05221,0.17006,0.33307
Acronicta_spinigera,4.23249,17.20621,0.22824,14.79487,0.75457,0.26944,0.31895,1.18892,22.1881,0.01753,5.1962,4.51408,1.40776,1.54933,0.22471,1.11489,0,0,0,0,0.81778,0,0.37172,2.21892,0.02231,0.00453,0.00613,0.00252,0,0.1171,0.1576,0.14329,0.90062,0.1497,0,2.84998,0.00219,2.26485,0.01059,0.36979,0.1302,1.41253,0.80401,0,0.19525,0.45587,0.81974,0.48036,0.02031,0,0.0067,6.08889,0.00702,2.34499,0.81858,0.34619,0.33416,0.1146,0.00468
